CKAND;JMENO;PRIJMENI;TITULPRED;TITULZA;VEK;POVOLANI;BYDLISTEN;BYDLISTEK;PSTRANA;NSTRANA;POHLAVI;PLATNOST;HLASY_K1;ZVOLEN_K1;HLASY_K2;ZVOLEN_K2
1;"Zuzana";"Roithová";"MUDr.";"MBA";59;"poslankyně Evr. parlamentu";"Dvory nad Lužnicí";509141;1;999;1;"A";255045;0;0;0
2;"Jan";"Fischer";"Ing.";"CSc.";62;"viceprezident EBRD";"Praha";1;99;999;0;"A";841437;0;0;0
3;"Jana";"Bobošíková";"Ing.";"";48;"manažerka";"Praha";1;759;999;1;"A";123171;0;0;0
4;"Taťana";"Fischerová";"";"";65;"herečka a politička";"Praha";1;199;999;1;"A";166211;0;0;0
5;"Přemysl";"Sobotka";"MUDr.";"";68;"senátor, 1. místopředseda SPČR";"Liberec";563889;53;997;0;"A";126846;0;0;0
6;"Miloš";"Zeman";"Ing.";"";68;"prognostik";"Praha";1;724;999;0;"A";1245848;2;2717405;1
7;"Vladimír";"Franz";"Prof. JUDr.";"";53;"VŠ profesor, hud.sklad.,malíř";"Praha";1;99;999;0;"A";351916;0;0;0
8;"Jiří";"Dienstbier";"";"";43;"právník a senátor";"Praha";1;7;998;0;"A";829297;0;0;0
9;"Karel";"Schwarzenberg";"";"";75;"ministr zahr. věcí, poslanec";"Sýkořice";542466;721;997;0;"A";1204195;2;2241171;0
